Category: All categories

Week,Adobe Inc.: (United States)
2014-03-30,69
2014-04-06,75
2014-04-13,75
2014-04-20,71
2014-04-27,74
2014-05-04,67
2014-05-11,69
2014-05-18,67
2014-05-25,65
2014-06-01,64
2014-06-08,69
2014-06-15,71
2014-06-22,71
2014-06-29,64
2014-07-06,70
2014-07-13,69
2014-07-20,66
2014-07-27,67
2014-08-03,66
2014-08-10,70
2014-08-17,76
2014-08-24,75
2014-08-31,70
2014-09-07,74
2014-09-14,70
2014-09-21,71
2014-09-28,69
2014-10-05,70
2014-10-12,70
2014-10-19,75
2014-10-26,84
2014-11-02,72
2014-11-09,68
2014-11-16,68
2014-11-23,57
2014-11-30,64
2014-12-07,75
2014-12-14,82
2014-12-21,61
2014-12-28,58
2015-01-04,69
2015-01-11,68
2015-01-18,67
2015-01-25,74
2015-02-01,70
2015-02-08,66
2015-02-15,62
2015-02-22,63
2015-03-01,61
2015-03-08,63
2015-03-15,65
2015-03-22,71
2015-03-29,64
2015-04-05,64
2015-04-12,65
2015-04-19,65
2015-04-26,59
2015-05-03,59
2015-05-10,60
2015-05-17,62
2015-05-24,63
2015-05-31,64
2015-06-07,61
2015-06-14,63
2015-06-21,62
2015-06-28,67
2015-07-05,72
2015-07-12,100
2015-07-19,69
2015-07-26,64
2015-08-02,63
2015-08-09,66
2015-08-16,67
2015-08-23,66
2015-08-30,64
2015-09-06,59
2015-09-13,61
2015-09-20,59
2015-09-27,60
2015-10-04,63
2015-10-11,59
2015-10-18,62
2015-10-25,59
2015-11-01,60
2015-11-08,58
2015-11-15,57
2015-11-22,49
2015-11-29,59
2015-12-06,58
2015-12-13,53
2015-12-20,47
2015-12-27,47
2016-01-03,47
2016-01-10,47
2016-01-17,49
2016-01-24,50
2016-01-31,48
2016-02-07,47
2016-02-14,47
2016-02-21,47
2016-02-28,45
2016-03-06,46
2016-03-13,47
2016-03-20,47
2016-03-27,46
2016-04-03,49
2016-04-10,48
2016-04-17,44
2016-04-24,43
2016-05-01,43
2016-05-08,44
2016-05-15,46
2016-05-22,46
2016-05-29,42
2016-06-05,45
2016-06-12,42
2016-06-19,46
2016-06-26,44
2016-07-03,38
2016-07-10,40
2016-07-17,41
2016-07-24,42
2016-07-31,41
2016-08-07,41
2016-08-14,42
2016-08-21,45
2016-08-28,43
2016-09-04,42
2016-09-11,46
2016-09-18,47
2016-09-25,46
2016-10-02,43
2016-10-09,43
2016-10-16,45
2016-10-23,49
2016-10-30,49
2016-11-06,44
2016-11-13,48
2016-11-20,38
2016-11-27,47
2016-12-04,45
2016-12-11,45
2016-12-18,40
2016-12-25,35
2017-01-01,42
2017-01-08,49
2017-01-15,49
2017-01-22,48
2017-01-29,49
2017-02-05,47
2017-02-12,48
2017-02-19,48
2017-02-26,53
2017-03-05,52
2017-03-12,50
2017-03-19,52
2017-03-26,50
2017-04-02,52
2017-04-09,50
2017-04-16,50
2017-04-23,49
2017-04-30,50
2017-05-07,50
2017-05-14,47
2017-05-21,44
2017-05-28,41
2017-06-04,44
2017-06-11,44
2017-06-18,42
2017-06-25,41
2017-07-02,37
2017-07-09,42
2017-07-16,41
2017-07-23,43
2017-07-30,44
2017-08-06,44
2017-08-13,45
2017-08-20,46
2017-08-27,50
2017-09-03,44
2017-09-10,47
2017-09-17,48
2017-09-24,46
2017-10-01,46
2017-10-08,46
2017-10-15,53
2017-10-22,51
2017-10-29,46
2017-11-05,45
2017-11-12,48
2017-11-19,37
2017-11-26,47
2017-12-03,47
2017-12-10,45
2017-12-17,40
2017-12-24,31
2017-12-31,39
2018-01-07,47
2018-01-14,44
2018-01-21,48
2018-01-28,47
2018-02-04,48
2018-02-11,46
2018-02-18,44
2018-02-25,45
2018-03-04,44
2018-03-11,45
2018-03-18,43
2018-03-25,43
2018-04-01,43
2018-04-08,43
2018-04-15,43
2018-04-22,42
2018-04-29,42
2018-05-06,43
2018-05-13,43
2018-05-20,42
2018-05-27,38
2018-06-03,42
2018-06-10,40
2018-06-17,38
2018-06-24,37
2018-07-01,32
2018-07-08,37
2018-07-15,37
2018-07-22,37
2018-07-29,38
2018-08-05,37
2018-08-12,40
2018-08-19,42
2018-08-26,43
2018-09-02,40
2018-09-09,44
2018-09-16,45
2018-09-23,44
2018-09-30,45
2018-10-07,43
2018-10-14,45
2018-10-21,42
2018-10-28,44
2018-11-04,40
2018-11-11,42
2018-11-18,32
2018-11-25,43
2018-12-02,44
2018-12-09,42
2018-12-16,39
2018-12-23,26
2018-12-30,32
2019-01-06,44
2019-01-13,45
2019-01-20,42
2019-01-27,45
2019-02-03,44
2019-02-10,45
2019-02-17,43
2019-02-24,44
2019-03-03,43
2019-03-10,42
2019-03-17,44
