Category: All categories

Week,American Express: (United States)
2014-03-30,93
2014-04-06,90
2014-04-13,89
2014-04-20,85
2014-04-27,90
2014-05-04,89
2014-05-11,90
2014-05-18,88
2014-05-25,88
2014-06-01,98
2014-06-08,93
2014-06-15,92
2014-06-22,92
2014-06-29,96
2014-07-06,97
2014-07-13,97
2014-07-20,92
2014-07-27,99
2014-08-03,100
2014-08-10,96
2014-08-17,93
2014-08-24,89
2014-08-31,91
2014-09-07,92
2014-09-14,90
2014-09-21,85
2014-09-28,90
2014-10-05,87
2014-10-12,88
2014-10-19,86
2014-10-26,87
2014-11-02,92
2014-11-09,89
2014-11-16,92
2014-11-23,94
2014-11-30,100
2014-12-07,95
2014-12-14,97
2014-12-21,88
2014-12-28,93
2015-01-04,93
2015-01-11,89
2015-01-18,86
2015-01-25,83
2015-02-01,85
2015-02-08,90
2015-02-15,89
2015-02-22,86
2015-03-01,90
2015-03-08,85
2015-03-15,82
2015-03-22,81
2015-03-29,88
2015-04-05,87
2015-04-12,84
2015-04-19,79
2015-04-26,82
2015-05-03,85
2015-05-10,85
2015-05-17,83
2015-05-24,86
2015-05-31,94
2015-06-07,92
2015-06-14,90
2015-06-21,89
2015-06-28,95
2015-07-05,95
2015-07-12,95
2015-07-19,93
2015-07-26,92
2015-08-02,94
2015-08-09,93
2015-08-16,89
2015-08-23,89
2015-08-30,92
2015-09-06,86
2015-09-13,86
2015-09-20,79
2015-09-27,88
2015-10-04,86
2015-10-11,85
2015-10-18,82
2015-10-25,79
2015-11-01,86
2015-11-08,84
2015-11-15,86
2015-11-22,81
2015-11-29,94
2015-12-06,85
2015-12-13,92
2015-12-20,83
2015-12-27,90
2016-01-03,79
2016-01-10,69
2016-01-17,73
2016-01-24,71
2016-01-31,72
2016-02-07,78
2016-02-14,71
2016-02-21,69
2016-02-28,74
2016-03-06,72
2016-03-13,69
2016-03-20,69
2016-03-27,73
2016-04-03,72
2016-04-10,68
2016-04-17,65
2016-04-24,68
2016-05-01,70
2016-05-08,70
2016-05-15,70
2016-05-22,67
2016-05-29,71
2016-06-05,73
2016-06-12,75
2016-06-19,79
2016-06-26,74
2016-07-03,69
2016-07-10,67
2016-07-17,65
2016-07-24,63
2016-07-31,65
2016-08-07,63
2016-08-14,64
2016-08-21,60
2016-08-28,61
2016-09-04,59
2016-09-11,57
2016-09-18,58
2016-09-25,58
2016-10-02,57
2016-10-09,57
2016-10-16,58
2016-10-23,56
2016-10-30,60
2016-11-06,55
2016-11-13,63
2016-11-20,62
2016-11-27,69
2016-12-04,65
2016-12-11,67
2016-12-18,67
2016-12-25,64
2017-01-01,69
2017-01-08,66
2017-01-15,60
2017-01-22,58
2017-01-29,63
2017-02-05,59
2017-02-12,62
2017-02-19,61
2017-02-26,66
2017-03-05,64
2017-03-12,65
2017-03-19,60
2017-03-26,66
2017-04-02,67
2017-04-09,64
2017-04-16,65
2017-04-23,66
2017-04-30,68
2017-05-07,64
2017-05-14,64
2017-05-21,61
2017-05-28,65
2017-06-04,65
2017-06-11,67
2017-06-18,64
2017-06-25,65
2017-07-02,65
2017-07-09,68
2017-07-16,65
2017-07-23,65
2017-07-30,70
2017-08-06,65
2017-08-13,68
2017-08-20,60
2017-08-27,64
2017-09-03,61
2017-09-10,63
2017-09-17,61
2017-09-24,62
2017-10-01,66
2017-10-08,66
2017-10-15,65
2017-10-22,60
2017-10-29,64
2017-11-05,63
2017-11-12,66
2017-11-19,60
2017-11-26,68
2017-12-03,65
2017-12-10,68
2017-12-17,71
2017-12-24,66
2017-12-31,68
2018-01-07,68
2018-01-14,68
2018-01-21,67
2018-01-28,71
2018-02-04,68
2018-02-11,71
2018-02-18,70
2018-02-25,70
2018-03-04,65
2018-03-11,65
2018-03-18,63
2018-03-25,64
2018-04-01,67
2018-04-08,66
2018-04-15,68
2018-04-22,62
2018-04-29,66
2018-05-06,66
2018-05-13,70
2018-05-20,62
2018-05-27,65
2018-06-03,68
2018-06-10,68
2018-06-17,65
2018-06-24,67
2018-07-01,68
2018-07-08,71
2018-07-15,67
2018-07-22,67
2018-07-29,71
2018-08-05,67
2018-08-12,67
2018-08-19,67
2018-08-26,66
2018-09-02,66
2018-09-09,64
2018-09-16,64
2018-09-23,62
2018-09-30,67
2018-10-07,66
2018-10-14,66
2018-10-21,61
2018-10-28,65
2018-11-04,61
2018-11-11,66
2018-11-18,60
2018-11-25,69
2018-12-02,66
2018-12-09,66
2018-12-16,68
2018-12-23,64
2018-12-30,71
2019-01-06,69
2019-01-13,65
2019-01-20,62
2019-01-27,66
2019-02-03,65
2019-02-10,67
2019-02-17,67
2019-02-24,68
2019-03-03,64
2019-03-10,63
2019-03-17,62
