Category: All categories

Week,Ford Motor Company: (United States)
2014-03-30,21
2014-04-06,21
2014-04-13,22
2014-04-20,22
2014-04-27,22
2014-05-04,21
2014-05-11,22
2014-05-18,23
2014-05-25,23
2014-06-01,22
2014-06-08,23
2014-06-15,23
2014-06-22,23
2014-06-29,22
2014-07-06,24
2014-07-13,25
2014-07-20,25
2014-07-27,24
2014-08-03,24
2014-08-10,24
2014-08-17,24
2014-08-24,24
2014-08-31,22
2014-09-07,21
2014-09-14,21
2014-09-21,21
2014-09-28,21
2014-10-05,21
2014-10-12,21
2014-10-19,22
2014-10-26,20
2014-11-02,20
2014-11-09,22
2014-11-16,23
2014-11-23,21
2014-11-30,20
2014-12-07,20
2014-12-14,20
2014-12-21,20
2014-12-28,23
2015-01-04,22
2015-01-11,21
2015-01-18,22
2015-01-25,22
2015-02-01,21
2015-02-08,22
2015-02-15,22
2015-02-22,22
2015-03-01,22
2015-03-08,23
2015-03-15,23
2015-03-22,22
2015-03-29,22
2015-04-05,21
2015-04-12,22
2015-04-19,22
2015-04-26,22
2015-05-03,22
2015-05-10,22
2015-05-17,23
2015-05-24,23
2015-05-31,23
2015-06-07,23
2015-06-14,23
2015-06-21,25
2015-06-28,24
2015-07-05,24
2015-07-12,25
2015-07-19,25
2015-07-26,26
2015-08-02,25
2015-08-09,26
2015-08-16,26
2015-08-23,26
2015-08-30,25
2015-09-06,23
2015-09-13,23
2015-09-20,23
2015-09-27,22
2015-10-04,22
2015-10-11,21
2015-10-18,22
2015-10-25,22
2015-11-01,22
2015-11-08,21
2015-11-15,21
2015-11-22,20
2015-11-29,21
2015-12-06,20
2015-12-13,20
2015-12-20,20
2015-12-27,22
2016-01-03,21
2016-01-10,21
2016-01-17,21
2016-01-24,22
2016-01-31,21
2016-02-07,22
2016-02-14,23
2016-02-21,24
2016-02-28,22
2016-03-06,22
2016-03-13,22
2016-03-20,23
2016-03-27,22
2016-04-03,21
2016-04-10,21
2016-04-17,22
2016-04-24,22
2016-05-01,21
2016-05-08,22
2016-05-15,22
2016-05-22,23
2016-05-29,22
2016-06-05,22
2016-06-12,22
2016-06-19,23
2016-06-26,24
2016-07-03,23
2016-07-10,24
2016-07-17,24
2016-07-24,25
2016-07-31,24
2016-08-07,23
2016-08-14,23
2016-08-21,24
2016-08-28,23
2016-09-04,22
2016-09-11,23
2016-09-18,22
2016-09-25,21
2016-10-02,20
2016-10-09,21
2016-10-16,21
2016-10-23,21
2016-10-30,20
2016-11-06,19
2016-11-13,22
2016-11-20,20
2016-11-27,20
2016-12-04,20
2016-12-11,20
2016-12-18,20
2016-12-25,22
2017-01-01,23
2017-01-08,22
2017-01-15,22
2017-01-22,22
2017-01-29,21
2017-02-05,21
2017-02-12,22
2017-02-19,22
2017-02-26,22
2017-03-05,22
2017-03-12,22
2017-03-19,22
2017-03-26,22
2017-04-02,22
2017-04-09,22
2017-04-16,21
2017-04-23,22
2017-04-30,21
2017-05-07,21
2017-05-14,23
2017-05-21,25
2017-05-28,23
2017-06-04,22
2017-06-11,22
2017-06-18,24
2017-06-25,25
2017-07-02,23
2017-07-09,23
2017-07-16,24
2017-07-23,26
2017-07-30,25
2017-08-06,24
2017-08-13,25
2017-08-20,23
2017-08-27,24
2017-09-03,21
2017-09-10,21
2017-09-17,22
2017-09-24,23
2017-10-01,22
2017-10-08,22
2017-10-15,22
2017-10-22,22
2017-10-29,21
2017-11-05,22
2017-11-12,21
2017-11-19,20
2017-11-26,21
2017-12-03,21
2017-12-10,21
2017-12-17,22
2017-12-24,23
2017-12-31,21
2018-01-07,22
2018-01-14,22
2018-01-21,23
2018-01-28,22
2018-02-04,22
2018-02-11,22
2018-02-18,23
2018-02-25,22
2018-03-04,23
2018-03-11,23
2018-03-18,23
2018-03-25,23
2018-04-01,22
2018-04-08,22
2018-04-15,22
2018-04-22,24
2018-04-29,24
2018-05-06,23
2018-05-13,23
2018-05-20,23
2018-05-27,23
2018-06-03,23
2018-06-10,23
2018-06-17,24
2018-06-24,24
2018-07-01,23
2018-07-08,24
2018-07-15,25
2018-07-22,25
2018-07-29,24
2018-08-05,24
2018-08-12,24
2018-08-19,24
2018-08-26,23
2018-09-02,22
2018-09-09,22
2018-09-16,25
2018-09-23,35
2018-09-30,29
2018-10-07,24
2018-10-14,22
2018-10-21,22
2018-10-28,22
2018-11-04,21
2018-11-11,21
2018-11-18,21
2018-11-25,21
2018-12-02,21
2018-12-09,21
2018-12-16,21
2018-12-23,22
2018-12-30,22
2019-01-06,21
2019-01-13,21
2019-01-20,22
2019-01-27,21
2019-02-03,21
2019-02-10,21
2019-02-17,86
2019-02-24,98
2019-03-03,100
2019-03-10,62
2019-03-17,23
