Category: All categories

Week,General Motors: (United States)
2014-03-30,83
2014-04-06,51
2014-04-13,43
2014-04-20,43
2014-04-27,38
2014-05-04,39
2014-05-11,51
2014-05-18,57
2014-05-25,40
2014-06-01,47
2014-06-08,42
2014-06-15,57
2014-06-22,45
2014-06-29,72
2014-07-06,44
2014-07-13,42
2014-07-20,46
2014-07-27,42
2014-08-03,42
2014-08-10,41
2014-08-17,39
2014-08-24,39
2014-08-31,36
2014-09-07,38
2014-09-14,42
2014-09-21,41
2014-09-28,42
2014-10-05,40
2014-10-12,38
2014-10-19,48
2014-10-26,41
2014-11-02,39
2014-11-09,40
2014-11-16,39
2014-11-23,35
2014-11-30,37
2014-12-07,35
2014-12-14,38
2014-12-21,32
2014-12-28,40
2015-01-04,39
2015-01-11,39
2015-01-18,39
2015-01-25,39
2015-02-01,39
2015-02-08,37
2015-02-15,39
2015-02-22,37
2015-03-01,36
2015-03-08,40
2015-03-15,40
2015-03-22,37
2015-03-29,37
2015-04-05,37
2015-04-12,38
2015-04-19,38
2015-04-26,38
2015-05-03,37
2015-05-10,39
2015-05-17,38
2015-05-24,40
2015-05-31,40
2015-06-07,40
2015-06-14,40
2015-06-21,41
2015-06-28,40
2015-07-05,41
2015-07-12,42
2015-07-19,43
2015-07-26,42
2015-08-02,42
2015-08-09,42
2015-08-16,41
2015-08-23,42
2015-08-30,41
2015-09-06,41
2015-09-13,45
2015-09-20,43
2015-09-27,41
2015-10-04,41
2015-10-11,40
2015-10-18,40
2015-10-25,53
2015-11-01,44
2015-11-08,40
2015-11-15,39
2015-11-22,35
2015-11-29,37
2015-12-06,37
2015-12-13,36
2015-12-20,32
2015-12-27,37
2016-01-03,42
2016-01-10,40
2016-01-17,40
2016-01-24,41
2016-01-31,40
2016-02-07,41
2016-02-14,39
2016-02-21,39
2016-02-28,39
2016-03-06,37
2016-03-13,38
2016-03-20,38
2016-03-27,38
2016-04-03,38
2016-04-10,40
2016-04-17,39
2016-04-24,39
2016-05-01,37
2016-05-08,38
2016-05-15,37
2016-05-22,36
2016-05-29,36
2016-06-05,39
2016-06-12,38
2016-06-19,38
2016-06-26,37
2016-07-03,36
2016-07-10,38
2016-07-17,40
2016-07-24,39
2016-07-31,38
2016-08-07,37
2016-08-14,37
2016-08-21,36
2016-08-28,37
2016-09-04,39
2016-09-11,39
2016-09-18,38
2016-09-25,35
2016-10-02,35
2016-10-09,34
2016-10-16,36
2016-10-23,37
2016-10-30,36
2016-11-06,34
2016-11-13,35
2016-11-20,30
2016-11-27,36
2016-12-04,35
2016-12-11,35
2016-12-18,35
2016-12-25,34
2017-01-01,39
2017-01-08,39
2017-01-15,40
2017-01-22,40
2017-01-29,38
2017-02-05,39
2017-02-12,39
2017-02-19,40
2017-02-26,39
2017-03-05,41
2017-03-12,37
2017-03-19,37
2017-03-26,38
2017-04-02,37
2017-04-09,39
2017-04-16,40
2017-04-23,39
2017-04-30,38
2017-05-07,36
2017-05-14,37
2017-05-21,37
2017-05-28,37
2017-06-04,39
2017-06-11,36
2017-06-18,39
2017-06-25,38
2017-07-02,36
2017-07-09,37
2017-07-16,38
2017-07-23,40
2017-07-30,40
2017-08-06,39
2017-08-13,39
2017-08-20,35
2017-08-27,36
2017-09-03,33
2017-09-10,35
2017-09-17,37
2017-09-24,37
2017-10-01,40
2017-10-08,39
2017-10-15,37
2017-10-22,38
2017-10-29,36
2017-11-05,35
2017-11-12,35
2017-11-19,32
2017-11-26,37
2017-12-03,36
2017-12-10,34
2017-12-17,35
2017-12-24,33
2017-12-31,37
2018-01-07,43
2018-01-14,40
2018-01-21,39
2018-01-28,38
2018-02-04,40
2018-02-11,38
2018-02-18,38
2018-02-25,39
2018-03-04,38
2018-03-11,37
2018-03-18,36
2018-03-25,38
2018-04-01,37
2018-04-08,37
2018-04-15,38
2018-04-22,38
2018-04-29,37
2018-05-06,36
2018-05-13,35
2018-05-20,35
2018-05-27,38
2018-06-03,40
2018-06-10,38
2018-06-17,38
2018-06-24,37
2018-07-01,35
2018-07-08,38
2018-07-15,37
2018-07-22,40
2018-07-29,39
2018-08-05,36
2018-08-12,37
2018-08-19,38
2018-08-26,37
2018-09-02,34
2018-09-09,37
2018-09-16,37
2018-09-23,37
2018-09-30,38
2018-10-07,36
2018-10-14,35
2018-10-21,36
2018-10-28,41
2018-11-04,35
2018-11-11,36
2018-11-18,33
2018-11-25,100
2018-12-02,46
2018-12-09,39
2018-12-16,36
2018-12-23,34
2018-12-30,38
2019-01-06,39
2019-01-13,41
2019-01-20,37
2019-01-27,39
2019-02-03,47
2019-02-10,38
2019-02-17,31
2019-02-24,30
2019-03-03,32
2019-03-10,33
2019-03-17,39
