Category: All categories

Week,Goldman Sachs: (United States)
2014-03-30,59
2014-04-06,63
2014-04-13,65
2014-04-20,55
2014-04-27,56
2014-05-04,57
2014-05-11,59
2014-05-18,53
2014-05-25,61
2014-06-01,62
2014-06-08,68
2014-06-15,60
2014-06-22,60
2014-06-29,54
2014-07-06,60
2014-07-13,67
2014-07-20,64
2014-07-27,61
2014-08-03,63
2014-08-10,54
2014-08-17,59
2014-08-24,54
2014-08-31,52
2014-09-07,57
2014-09-14,61
2014-09-21,70
2014-09-28,72
2014-10-05,70
2014-10-12,71
2014-10-19,68
2014-10-26,63
2014-11-02,60
2014-11-09,82
2014-11-16,69
2014-11-23,52
2014-11-30,59
2014-12-07,60
2014-12-14,61
2014-12-21,44
2014-12-28,38
2015-01-04,62
2015-01-11,68
2015-01-18,60
2015-01-25,59
2015-02-01,57
2015-02-08,61
2015-02-15,56
2015-02-22,65
2015-03-01,60
2015-03-08,63
2015-03-15,58
2015-03-22,62
2015-03-29,55
2015-04-05,56
2015-04-12,67
2015-04-19,59
2015-04-26,56
2015-05-03,61
2015-05-10,58
2015-05-17,58
2015-05-24,54
2015-05-31,68
2015-06-07,59
2015-06-14,70
2015-06-21,63
2015-06-28,61
2015-07-05,67
2015-07-12,76
2015-07-19,66
2015-07-26,65
2015-08-02,64
2015-08-09,65
2015-08-16,62
2015-08-23,62
2015-08-30,59
2015-09-06,65
2015-09-13,71
2015-09-20,74
2015-09-27,70
2015-10-04,76
2015-10-11,84
2015-10-18,68
2015-10-25,68
2015-11-01,74
2015-11-08,74
2015-11-15,66
2015-11-22,47
2015-11-29,60
2015-12-06,56
2015-12-13,58
2015-12-20,48
2015-12-27,43
2016-01-03,60
2016-01-10,80
2016-01-17,90
2016-01-24,70
2016-01-31,87
2016-02-07,81
2016-02-14,63
2016-02-21,73
2016-02-28,65
2016-03-06,67
2016-03-13,61
2016-03-20,65
2016-03-27,62
2016-04-03,62
2016-04-10,97
2016-04-17,86
2016-04-24,84
2016-05-01,75
2016-05-08,65
2016-05-15,60
2016-05-22,61
2016-05-29,58
2016-06-05,65
2016-06-12,66
2016-06-19,72
2016-06-26,60
2016-07-03,55
2016-07-10,63
2016-07-17,78
2016-07-24,59
2016-07-31,57
2016-08-07,50
2016-08-14,53
2016-08-21,52
2016-08-28,51
2016-09-04,70
2016-09-11,63
2016-09-18,61
2016-09-25,63
2016-10-02,65
2016-10-09,73
2016-10-16,93
2016-10-23,70
2016-10-30,64
2016-11-06,79
2016-11-13,78
2016-11-20,53
2016-11-27,100
2016-12-04,91
2016-12-11,98
2016-12-18,69
2016-12-25,49
2017-01-01,66
2017-01-08,79
2017-01-15,89
2017-01-22,76
2017-01-29,80
2017-02-05,73
2017-02-12,81
2017-02-19,61
2017-02-26,68
2017-03-05,70
2017-03-12,68
2017-03-19,70
2017-03-26,69
2017-04-02,66
2017-04-09,63
2017-04-16,80
2017-04-23,67
2017-04-30,63
2017-05-07,65
2017-05-14,59
2017-05-21,58
2017-05-28,76
2017-06-04,74
2017-06-11,71
2017-06-18,66
2017-06-25,69
2017-07-02,62
2017-07-09,77
2017-07-16,87
2017-07-23,72
2017-07-30,72
2017-08-06,67
2017-08-13,65
2017-08-20,59
2017-08-27,58
2017-09-03,60
2017-09-10,72
2017-09-17,71
2017-09-24,66
2017-10-01,73
2017-10-08,70
2017-10-15,82
2017-10-22,73
2017-10-29,66
2017-11-05,76
2017-11-12,66
2017-11-19,50
2017-11-26,70
2017-12-03,66
2017-12-10,60
2017-12-17,62
2017-12-24,51
2017-12-31,59
2018-01-07,69
2018-01-14,87
2018-01-21,77
2018-01-28,73
2018-02-04,78
2018-02-11,70
2018-02-18,62
2018-02-25,72
2018-03-04,74
2018-03-11,78
2018-03-18,66
2018-03-25,67
2018-04-01,65
2018-04-08,77
2018-04-15,87
2018-04-22,71
2018-04-29,75
2018-05-06,73
2018-05-13,71
2018-05-20,68
2018-05-27,71
2018-06-03,68
2018-06-10,72
2018-06-17,72
2018-06-24,72
2018-07-01,64
2018-07-08,69
2018-07-15,99
2018-07-22,78
2018-07-29,80
2018-08-05,76
2018-08-12,76
2018-08-19,69
2018-08-26,68
2018-09-02,72
2018-09-09,80
2018-09-16,77
2018-09-23,76
2018-09-30,73
2018-10-07,72
2018-10-14,85
2018-10-21,73
2018-10-28,76
2018-11-04,80
2018-11-11,88
2018-11-18,65
2018-11-25,73
2018-12-02,70
2018-12-09,72
2018-12-16,82
2018-12-23,53
2018-12-30,66
2019-01-06,75
2019-01-13,99
2019-01-20,68
2019-01-27,70
2019-02-03,74
2019-02-10,70
2019-02-17,70
2019-02-24,78
2019-03-03,78
2019-03-10,72
2019-03-17,75
