Category: All categories

Week,Morgan Stanley: (United States)
2014-03-30,81
2014-04-06,80
2014-04-13,76
2014-04-20,81
2014-04-27,80
2014-05-04,71
2014-05-11,71
2014-05-18,75
2014-05-25,70
2014-06-01,73
2014-06-08,82
2014-06-15,80
2014-06-22,70
2014-06-29,74
2014-07-06,75
2014-07-13,83
2014-07-20,79
2014-07-27,76
2014-08-03,75
2014-08-10,73
2014-08-17,77
2014-08-24,73
2014-08-31,70
2014-09-07,73
2014-09-14,79
2014-09-21,72
2014-09-28,73
2014-10-05,77
2014-10-12,76
2014-10-19,75
2014-10-26,73
2014-11-02,79
2014-11-09,77
2014-11-16,76
2014-11-23,56
2014-11-30,68
2014-12-07,70
2014-12-14,73
2014-12-21,57
2014-12-28,56
2015-01-04,100
2015-01-11,77
2015-01-18,78
2015-01-25,76
2015-02-01,79
2015-02-08,84
2015-02-15,80
2015-02-22,92
2015-03-01,82
2015-03-08,79
2015-03-15,80
2015-03-22,84
2015-03-29,81
2015-04-05,83
2015-04-12,86
2015-04-19,75
2015-04-26,67
2015-05-03,72
2015-05-10,74
2015-05-17,84
2015-05-24,65
2015-05-31,80
2015-06-07,72
2015-06-14,68
2015-06-21,73
2015-06-28,67
2015-07-05,76
2015-07-12,79
2015-07-19,82
2015-07-26,79
2015-08-02,75
2015-08-09,72
2015-08-16,80
2015-08-23,78
2015-08-30,68
2015-09-06,58
2015-09-13,73
2015-09-20,75
2015-09-27,75
2015-10-04,81
2015-10-11,75
2015-10-18,81
2015-10-25,74
2015-11-01,76
2015-11-08,70
2015-11-15,70
2015-11-22,48
2015-11-29,84
2015-12-06,80
2015-12-13,65
2015-12-20,52
2015-12-27,50
2016-01-03,78
2016-01-10,77
2016-01-17,73
2016-01-24,72
2016-01-31,68
2016-02-07,70
2016-02-14,65
2016-02-21,68
2016-02-28,70
2016-03-06,70
2016-03-13,71
2016-03-20,64
2016-03-27,74
2016-04-03,67
2016-04-10,72
2016-04-17,70
2016-04-24,59
2016-05-01,60
2016-05-08,63
2016-05-15,62
2016-05-22,59
2016-05-29,57
2016-06-05,62
2016-06-12,58
2016-06-19,67
2016-06-26,68
2016-07-03,57
2016-07-10,69
2016-07-17,64
2016-07-24,61
2016-07-31,63
2016-08-07,60
2016-08-14,67
2016-08-21,61
2016-08-28,56
2016-09-04,54
2016-09-11,64
2016-09-18,62
2016-09-25,61
2016-10-02,59
2016-10-09,60
2016-10-16,61
2016-10-23,59
2016-10-30,53
2016-11-06,56
2016-11-13,62
2016-11-20,45
2016-11-27,57
2016-12-04,62
2016-12-11,58
2016-12-18,52
2016-12-25,39
2017-01-01,56
2017-01-08,63
2017-01-15,59
2017-01-22,69
2017-01-29,68
2017-02-05,69
2017-02-12,75
2017-02-19,67
2017-02-26,72
2017-03-05,68
2017-03-12,63
2017-03-19,66
2017-03-26,65
2017-04-02,67
2017-04-09,59
2017-04-16,65
2017-04-23,63
2017-04-30,64
2017-05-07,62
2017-05-14,64
2017-05-21,59
2017-05-28,58
2017-06-04,59
2017-06-11,60
2017-06-18,59
2017-06-25,57
2017-07-02,52
2017-07-09,68
2017-07-16,74
2017-07-23,71
2017-07-30,72
2017-08-06,65
2017-08-13,62
2017-08-20,55
2017-08-27,60
2017-09-03,54
2017-09-10,65
2017-09-17,60
2017-09-24,65
2017-10-01,64
2017-10-08,63
2017-10-15,72
2017-10-22,64
2017-10-29,70
2017-11-05,60
2017-11-12,57
2017-11-19,45
2017-11-26,62
2017-12-03,67
2017-12-10,59
2017-12-17,57
2017-12-24,43
2017-12-31,58
2018-01-07,73
2018-01-14,67
2018-01-21,78
2018-01-28,74
2018-02-04,75
2018-02-11,69
2018-02-18,62
2018-02-25,74
2018-03-04,72
2018-03-11,67
2018-03-18,66
2018-03-25,73
2018-04-01,73
2018-04-08,71
2018-04-15,70
2018-04-22,58
2018-04-29,64
2018-05-06,65
2018-05-13,69
2018-05-20,59
2018-05-27,61
2018-06-03,67
2018-06-10,64
2018-06-17,64
2018-06-24,59
2018-07-01,55
2018-07-08,75
2018-07-15,69
2018-07-22,72
2018-07-29,77
2018-08-05,64
2018-08-12,64
2018-08-19,61
2018-08-26,65
2018-09-02,59
2018-09-09,63
2018-09-16,65
2018-09-23,67
2018-09-30,64
2018-10-07,64
2018-10-14,69
2018-10-21,61
2018-10-28,63
2018-11-04,61
2018-11-11,58
2018-11-18,45
2018-11-25,57
2018-12-02,58
2018-12-09,56
2018-12-16,57
2018-12-23,42
2018-12-30,52
2019-01-06,68
2019-01-13,77
2019-01-20,57
2019-01-27,71
2019-02-03,63
2019-02-10,70
2019-02-17,74
2019-02-24,76
2019-03-03,71
2019-03-10,74
2019-03-17,74
