Category: All categories

Week,Oracle Corporation: (United States)
2014-03-30,85
2014-04-06,89
2014-04-13,85
2014-04-20,86
2014-04-27,84
2014-05-04,83
2014-05-11,86
2014-05-18,87
2014-05-25,77
2014-06-01,89
2014-06-08,90
2014-06-15,95
2014-06-22,90
2014-06-29,75
2014-07-06,87
2014-07-13,90
2014-07-20,91
2014-07-27,93
2014-08-03,90
2014-08-10,89
2014-08-17,90
2014-08-24,85
2014-08-31,75
2014-09-07,89
2014-09-14,100
2014-09-21,100
2014-09-28,96
2014-10-05,90
2014-10-12,87
2014-10-19,86
2014-10-26,89
2014-11-02,86
2014-11-09,83
2014-11-16,87
2014-11-23,60
2014-11-30,80
2014-12-07,82
2014-12-14,78
2014-12-21,51
2014-12-28,48
2015-01-04,79
2015-01-11,82
2015-01-18,84
2015-01-25,88
2015-02-01,84
2015-02-08,86
2015-02-15,80
2015-02-22,82
2015-03-01,84
2015-03-08,88
2015-03-15,87
2015-03-22,85
2015-03-29,84
2015-04-05,84
2015-04-12,87
2015-04-19,88
2015-04-26,85
2015-05-03,89
2015-05-10,87
2015-05-17,86
2015-05-24,81
2015-05-31,87
2015-06-07,89
2015-06-14,92
2015-06-21,93
2015-06-28,78
2015-07-05,86
2015-07-12,89
2015-07-19,92
2015-07-26,88
2015-08-02,86
2015-08-09,94
2015-08-16,89
2015-08-23,91
2015-08-30,85
2015-09-06,78
2015-09-13,88
2015-09-20,88
2015-09-27,85
2015-10-04,86
2015-10-11,88
2015-10-18,88
2015-10-25,97
2015-11-01,84
2015-11-08,78
2015-11-15,80
2015-11-22,57
2015-11-29,73
2015-12-06,78
2015-12-13,76
2015-12-20,54
2015-12-27,45
2016-01-03,67
2016-01-10,66
2016-01-17,70
2016-01-24,76
2016-01-31,73
2016-02-07,71
2016-02-14,69
2016-02-21,73
2016-02-28,71
2016-03-06,70
2016-03-13,70
2016-03-20,68
2016-03-27,68
2016-04-03,70
2016-04-10,75
2016-04-17,71
2016-04-24,71
2016-05-01,71
2016-05-08,71
2016-05-15,72
2016-05-22,71
2016-05-29,64
2016-06-05,73
2016-06-12,75
2016-06-19,73
2016-06-26,68
2016-07-03,57
2016-07-10,68
2016-07-17,69
2016-07-24,75
2016-07-31,68
2016-08-07,70
2016-08-14,65
2016-08-21,69
2016-08-28,63
2016-09-04,59
2016-09-11,70
2016-09-18,79
2016-09-25,66
2016-10-02,63
2016-10-09,64
2016-10-16,67
2016-10-23,66
2016-10-30,65
2016-11-06,58
2016-11-13,67
2016-11-20,47
2016-11-27,65
2016-12-04,61
2016-12-11,63
2016-12-18,56
2016-12-25,37
2017-01-01,52
2017-01-08,64
2017-01-15,66
2017-01-22,69
2017-01-29,68
2017-02-05,67
2017-02-12,69
2017-02-19,62
2017-02-26,65
2017-03-05,65
2017-03-12,66
2017-03-19,68
2017-03-26,68
2017-04-02,66
2017-04-09,64
2017-04-16,67
2017-04-23,67
2017-04-30,63
2017-05-07,63
2017-05-14,62
2017-05-21,64
2017-05-28,58
2017-06-04,67
2017-06-11,66
2017-06-18,68
2017-06-25,66
2017-07-02,48
2017-07-09,66
2017-07-16,64
2017-07-23,68
2017-07-30,66
2017-08-06,65
2017-08-13,65
2017-08-20,62
2017-08-27,61
2017-09-03,54
2017-09-10,69
2017-09-17,65
2017-09-24,67
2017-10-01,71
2017-10-08,64
2017-10-15,63
2017-10-22,64
2017-10-29,61
2017-11-05,62
2017-11-12,63
2017-11-19,45
2017-11-26,58
2017-12-03,60
2017-12-10,59
2017-12-17,52
2017-12-24,33
2017-12-31,50
2018-01-07,60
2018-01-14,57
2018-01-21,63
2018-01-28,63
2018-02-04,65
2018-02-11,62
2018-02-18,59
2018-02-25,62
2018-03-04,62
2018-03-11,61
2018-03-18,66
2018-03-25,65
2018-04-01,64
2018-04-08,61
2018-04-15,63
2018-04-22,59
2018-04-29,60
2018-05-06,62
2018-05-13,62
2018-05-20,60
2018-05-27,54
2018-06-03,63
2018-06-10,62
2018-06-17,64
2018-06-24,62
2018-07-01,48
2018-07-08,60
2018-07-15,62
2018-07-22,61
2018-07-29,62
2018-08-05,61
2018-08-12,60
2018-08-19,60
2018-08-26,61
2018-09-02,56
2018-09-09,63
2018-09-16,67
2018-09-23,64
2018-09-30,61
2018-10-07,61
2018-10-14,63
2018-10-21,66
2018-10-28,62
2018-11-04,56
2018-11-11,60
2018-11-18,43
2018-11-25,54
2018-12-02,56
2018-12-09,56
2018-12-16,55
2018-12-23,31
2018-12-30,41
2019-01-06,58
2019-01-13,61
2019-01-20,62
2019-01-27,60
2019-02-03,64
2019-02-10,61
2019-02-17,74
2019-02-24,75
2019-03-03,76
2019-03-10,70
2019-03-17,70
