Category: All categories

Week,Salesforce.com: (United States)
2014-03-30,56
2014-04-06,59
2014-04-13,57
2014-04-20,58
2014-04-27,60
2014-05-04,56
2014-05-11,59
2014-05-18,57
2014-05-25,54
2014-06-01,64
2014-06-08,64
2014-06-15,63
2014-06-22,61
2014-06-29,53
2014-07-06,64
2014-07-13,67
2014-07-20,67
2014-07-27,67
2014-08-03,64
2014-08-10,64
2014-08-17,65
2014-08-24,61
2014-08-31,56
2014-09-07,66
2014-09-14,68
2014-09-21,67
2014-09-28,67
2014-10-05,65
2014-10-12,67
2014-10-19,65
2014-10-26,64
2014-11-02,62
2014-11-09,64
2014-11-16,68
2014-11-23,40
2014-11-30,61
2014-12-07,60
2014-12-14,61
2014-12-21,30
2014-12-28,32
2015-01-04,61
2015-01-11,64
2015-01-18,65
2015-01-25,65
2015-02-01,62
2015-02-08,65
2015-02-15,61
2015-02-22,64
2015-03-01,64
2015-03-08,66
2015-03-15,65
2015-03-22,68
2015-03-29,66
2015-04-05,66
2015-04-12,62
2015-04-19,67
2015-04-26,79
2015-05-03,75
2015-05-10,69
2015-05-17,70
2015-05-24,60
2015-05-31,69
2015-06-07,73
2015-06-14,70
2015-06-21,71
2015-06-28,61
2015-07-05,69
2015-07-12,71
2015-07-19,70
2015-07-26,72
2015-08-02,70
2015-08-09,72
2015-08-16,73
2015-08-23,74
2015-08-30,72
2015-09-06,57
2015-09-13,74
2015-09-20,67
2015-09-27,67
2015-10-04,72
2015-10-11,70
2015-10-18,68
2015-10-25,70
2015-11-01,69
2015-11-08,65
2015-11-15,67
2015-11-22,45
2015-11-29,63
2015-12-06,65
2015-12-13,67
2015-12-20,44
2015-12-27,34
2016-01-03,59
2016-01-10,67
2016-01-17,62
2016-01-24,68
2016-01-31,65
2016-02-07,64
2016-02-14,61
2016-02-21,66
2016-02-28,65
2016-03-06,67
2016-03-13,62
2016-03-20,62
2016-03-27,64
2016-04-03,67
2016-04-10,63
2016-04-17,62
2016-04-24,63
2016-05-01,62
2016-05-08,71
2016-05-15,70
2016-05-22,72
2016-05-29,62
2016-06-05,74
2016-06-12,70
2016-06-19,75
2016-06-26,66
2016-07-03,57
2016-07-10,69
2016-07-17,67
2016-07-24,65
2016-07-31,67
2016-08-07,68
2016-08-14,68
2016-08-21,70
2016-08-28,68
2016-09-04,55
2016-09-11,70
2016-09-18,72
2016-09-25,72
2016-10-02,75
2016-10-09,73
2016-10-16,74
2016-10-23,73
2016-10-30,68
2016-11-06,63
2016-11-13,73
2016-11-20,43
2016-11-27,66
2016-12-04,64
2016-12-11,67
2016-12-18,52
2016-12-25,33
2017-01-01,56
2017-01-08,74
2017-01-15,66
2017-01-22,69
2017-01-29,74
2017-02-05,71
2017-02-12,72
2017-02-19,62
2017-02-26,72
2017-03-05,77
2017-03-12,73
2017-03-19,76
2017-03-26,69
2017-04-02,74
2017-04-09,72
2017-04-16,72
2017-04-23,72
2017-04-30,79
2017-05-07,71
2017-05-14,75
2017-05-21,76
2017-05-28,64
2017-06-04,74
2017-06-11,69
2017-06-18,72
2017-06-25,77
2017-07-02,57
2017-07-09,79
2017-07-16,79
2017-07-23,74
2017-07-30,75
2017-08-06,77
2017-08-13,72
2017-08-20,72
2017-08-27,67
2017-09-03,59
2017-09-10,70
2017-09-17,70
2017-09-24,72
2017-10-01,72
2017-10-08,71
2017-10-15,72
2017-10-22,74
2017-10-29,72
2017-11-05,80
2017-11-12,76
2017-11-19,49
2017-11-26,70
2017-12-03,70
2017-12-10,69
2017-12-17,62
2017-12-24,34
2017-12-31,59
2018-01-07,72
2018-01-14,72
2018-01-21,75
2018-01-28,75
2018-02-04,77
2018-02-11,72
2018-02-18,70
2018-02-25,78
2018-03-04,75
2018-03-11,74
2018-03-18,82
2018-03-25,80
2018-04-01,79
2018-04-08,74
2018-04-15,87
2018-04-22,76
2018-04-29,76
2018-05-06,77
2018-05-13,77
2018-05-20,81
2018-05-27,73
2018-06-03,83
2018-06-10,80
2018-06-17,82
2018-06-24,81
2018-07-01,60
2018-07-08,78
2018-07-15,85
2018-07-22,82
2018-07-29,81
2018-08-05,84
2018-08-12,83
2018-08-19,82
2018-08-26,80
2018-09-02,72
2018-09-09,80
2018-09-16,88
2018-09-23,100
2018-09-30,87
2018-10-07,86
2018-10-14,81
2018-10-21,83
2018-10-28,84
2018-11-04,78
2018-11-11,77
2018-11-18,49
2018-11-25,82
2018-12-02,80
2018-12-09,80
2018-12-16,74
2018-12-23,34
2018-12-30,57
2019-01-06,84
2019-01-13,83
2019-01-20,84
2019-01-27,85
2019-02-03,85
2019-02-10,82
2019-02-17,77
2019-02-24,81
2019-03-03,87
2019-03-10,84
2019-03-17,87
