Category: All categories

Week,"Tesla, Inc.: (United States)"
2014-03-30,22
2014-04-06,14
2014-04-13,13
2014-04-20,14
2014-04-27,13
2014-05-04,15
2014-05-11,18
2014-05-18,13
2014-05-25,12
2014-06-01,13
2014-06-08,17
2014-06-15,16
2014-06-22,13
2014-06-29,14
2014-07-06,15
2014-07-13,20
2014-07-20,15
2014-07-27,16
2014-08-03,14
2014-08-10,13
2014-08-17,13
2014-08-24,13
2014-08-31,17
2014-09-07,13
2014-09-14,13
2014-09-21,12
2014-09-28,15
2014-10-05,28
2014-10-12,17
2014-10-19,15
2014-10-26,13
2014-11-02,12
2014-11-09,11
2014-11-16,11
2014-11-23,11
2014-11-30,10
2014-12-07,10
2014-12-14,11
2014-12-21,13
2014-12-28,12
2015-01-04,12
2015-01-11,14
2015-01-18,12
2015-01-25,17
2015-02-01,12
2015-02-08,15
2015-02-15,14
2015-02-22,13
2015-03-01,11
2015-03-08,11
2015-03-15,16
2015-03-22,12
2015-03-29,15
2015-04-05,16
2015-04-12,13
2015-04-19,13
2015-04-26,25
2015-05-03,25
2015-05-10,17
2015-05-17,16
2015-05-24,15
2015-05-31,14
2015-06-07,15
2015-06-14,16
2015-06-21,16
2015-06-28,14
2015-07-05,15
2015-07-12,17
2015-07-19,18
2015-07-26,16
2015-08-02,19
2015-08-09,16
2015-08-16,16
2015-08-23,19
2015-08-30,22
2015-09-06,16
2015-09-13,16
2015-09-20,16
2015-09-27,30
2015-10-04,18
2015-10-11,18
2015-10-18,19
2015-10-25,15
2015-11-01,15
2015-11-08,13
2015-11-15,13
2015-11-22,14
2015-11-29,13
2015-12-06,13
2015-12-13,12
2015-12-20,14
2015-12-27,14
2016-01-03,14
2016-01-10,14
2016-01-17,12
2016-01-24,15
2016-01-31,17
2016-02-07,22
2016-02-14,17
2016-02-21,15
2016-02-28,15
2016-03-06,15
2016-03-13,16
2016-03-20,19
2016-03-27,100
2016-04-03,53
2016-04-10,27
2016-04-17,22
2016-04-24,20
2016-05-01,20
2016-05-08,20
2016-05-15,19
2016-05-22,19
2016-05-29,18
2016-06-05,19
2016-06-12,17
2016-06-19,22
2016-06-26,25
2016-07-03,20
2016-07-10,20
2016-07-17,20
2016-07-24,19
2016-07-31,19
2016-08-07,16
2016-08-14,15
2016-08-21,20
2016-08-28,17
2016-09-04,15
2016-09-11,17
2016-09-18,17
2016-09-25,18
2016-10-02,17
2016-10-09,16
2016-10-16,23
2016-10-23,21
2016-10-30,22
2016-11-06,18
2016-11-13,19
2016-11-20,19
2016-11-27,17
2016-12-04,16
2016-12-11,16
2016-12-18,17
2016-12-25,20
2017-01-01,18
2017-01-08,17
2017-01-15,17
2017-01-22,17
2017-01-29,17
2017-02-05,19
2017-02-12,19
2017-02-19,20
2017-02-26,18
2017-03-05,19
2017-03-12,19
2017-03-19,19
2017-03-26,21
2017-04-02,25
2017-04-09,27
2017-04-16,22
2017-04-23,22
2017-04-30,24
2017-05-07,26
2017-05-14,23
2017-05-21,21
2017-05-28,23
2017-06-04,24
2017-06-11,23
2017-06-18,23
2017-06-25,23
2017-07-02,41
2017-07-09,32
2017-07-16,27
2017-07-23,40
2017-07-30,46
2017-08-06,30
2017-08-13,25
2017-08-20,23
2017-08-27,22
2017-09-03,22
2017-09-10,25
2017-09-17,24
2017-09-24,23
2017-10-01,24
2017-10-08,24
2017-10-15,24
2017-10-22,23
2017-10-29,25
2017-11-05,21
2017-11-12,54
2017-11-19,47
2017-11-26,29
2017-12-03,26
2017-12-10,25
2017-12-17,26
2017-12-24,28
2017-12-31,26
2018-01-07,25
2018-01-14,25
2018-01-21,26
2018-01-28,26
2018-02-04,55
2018-02-11,31
2018-02-18,27
2018-02-25,24
2018-03-04,24
2018-03-11,24
2018-03-18,23
2018-03-25,36
2018-04-01,33
2018-04-08,27
2018-04-15,27
2018-04-22,25
2018-04-29,31
2018-05-06,29
2018-05-13,29
2018-05-20,29
2018-05-27,26
2018-06-03,26
2018-06-10,28
2018-06-17,28
2018-06-24,29
2018-07-01,31
2018-07-08,30
2018-07-15,29
2018-07-22,31
2018-07-29,36
2018-08-05,43
2018-08-12,35
2018-08-19,33
2018-08-26,29
2018-09-02,38
2018-09-09,37
2018-09-16,33
2018-09-23,39
2018-09-30,42
2018-10-07,35
2018-10-14,33
2018-10-21,40
2018-10-28,31
2018-11-04,28
2018-11-11,29
2018-11-18,27
2018-11-25,28
2018-12-02,28
2018-12-09,31
2018-12-16,33
2018-12-23,35
2018-12-30,34
2019-01-06,29
2019-01-13,30
2019-01-20,28
2019-01-27,30
2019-02-03,28
2019-02-10,27
2019-02-17,30
2019-02-24,48
2019-03-03,45
2019-03-10,53
2019-03-17,42
