"date","close","volume","open","high","low"

"2019/03/22","259.6900","3447443.0000","263.4700","264.6400","259.5200"
"2019/03/21","264.1800","2357183.0000","259.0000","264.3400","258.4000"
"2019/03/20","259.7400","3389345.0000","260.5400","262.3000","256.1700"
"2019/03/19","260.4200","4238002.0000","259.4300","260.6400","256.3400"
"2019/03/18","257.7600","4011725.0000","257.1100","259.9600","253.8901"
"2019/03/15","257.0900","12108480.0000","258.0300","260.0000","252.0300"
"2019/03/14","267.6900","5072598.0000","265.2600","268.0000","263.5200"
"2019/03/13","264.3800","3989333.0000","265.5000","269.8000","264.1300"
"2019/03/12","263.5100","2583315.0000","261.8600","264.7500","259.0100"
"2019/03/11","260.9600","2555710.0000","255.9800","261.4600","255.7700"
"2019/03/08","254.7400","2194190.0000","251.4900","255.0200","249.0954"
"2019/03/07","255.4600","3144788.0000","255.7700","257.4900","253.2855"
"2019/03/06","256.4000","1949650.0000","257.4000","259.4900","253.8400"
"2019/03/05","257.3800","2089254.0000","259.0000","259.8650","256.3650"
"2019/03/04","258.1600","2986284.0000","266.7000","267.0000","254.0800"
"2019/03/01","264.0100","2582446.0000","265.7500","266.2400","261.5000"
"2019/02/28","262.5000","3799242.0000","262.4000","266.2400","261.7600"
"2019/02/27","262.9000","2244333.0000","259.7700","263.0800","256.5200"
"2019/02/26","261.2200","2536367.0000","258.0000","262.5800","256.3734"
"2019/02/25","258.6200","1808267.0000","261.5000","262.9800","258.1800"
"2019/02/22","258.9000","2005988.0000","257.6100","260.2400","257.6100"
"2019/02/21","257.7600","2593685.0000","257.3000","259.3491","255.1200"
"2019/02/20","258.1000","2452118.0000","258.1300","260.9900","255.9164"
"2019/02/19","257.8100","3459859.0000","258.9800","260.0600","256.4500"
"2019/02/15","259.4500","2998923.0000","260.3400","260.9700","258.0725"
"2019/02/14","260.1400","1735869.0000","259.4000","261.7100","258.0100"
"2019/02/13","260.2300","1897161.0000","263.1300","263.3645","259.3700"
"2019/02/12","261.3700","2516342.0000","260.1500","262.2509","258.6700"
"2019/02/11","258.3900","3504480.0000","258.8900","259.9000","256.1900"
"2019/02/08","257.0000","2688869.0000","251.3900","257.0500","250.6400"
"2019/02/07","253.7400","2098217.0000","251.3300","254.3100","250.2800"
"2019/02/06","254.3500","2462790.0000","255.0600","255.9300","250.7100"
"2019/02/05","254.8200","3022245.0000","256.7400","258.5600","254.0100"
"2019/02/04","254.7400","3699143.0000","248.5600","256.9900","248.0600"
"2019/02/01","247.3800","2911604.0000","247.8200","251.0350","246.1000"
"2019/01/31","247.8200","4920084.0000","243.0000","249.0000","243.0000"
"2019/01/30","242.6700","2462499.0000","240.1600","243.0000","238.8700"
"2019/01/29","238.2700","1934368.0000","241.8100","242.8653","237.2700"
"2019/01/28","241.8500","2097035.0000","241.0000","243.2200","239.3500"
"2019/01/25","244.9500","3821205.0000","244.9900","247.1000","243.4300"
"2019/01/24","242.5600","3388177.0000","245.6200","245.9800","241.1800"
"2019/01/23","245.1400","2005299.0000","244.9100","248.1600","240.5963"
"2019/01/22","243.8500","4077431.0000","245.1300","245.6083","241.1900"
"2019/01/18","247.5100","3705712.0000","247.4500","250.6800","244.4500"
"2019/01/17","244.4000","2827165.0000","240.1300","245.0400","238.7801"
"2019/01/16","241.9500","2878101.0000","243.6000","244.0000","239.6800"
"2019/01/15","242.3600","3526260.0000","237.9000","243.9300","237.2552"
"2019/01/14","234.5600","2553333.0000","235.3300","236.2550","231.9587"
"2019/01/11","237.5500","3178297.0000","235.7100","239.3200","235.2300"
"2019/01/10","237.7700","2704041.0000","233.7700","238.0400","231.7100"
"2019/01/09","235.4300","3593515.0000","234.0100","238.5900","232.0000"
"2019/01/08","232.6800","3666281.0000","232.6500","233.7700","228.3298"
"2019/01/07","229.2600","3635797.0000","229.9500","232.6000","227.2900"
"2019/01/04","226.1900","4040882.0000","219.8400","227.6500","217.4800"
"2019/01/03","215.7000","3561264.0000","220.8800","223.6300","215.1500"
"2019/01/02","224.5700","2776710.0000","219.9100","226.1700","219.0000"
"2018/12/31","226.2400","2864787.0000","225.5600","227.3300","223.2350"
"2018/12/28","223.1300","3159377.0000","227.5800","228.1100","220.8700"
"2018/12/27","225.1400","3737396.0000","219.9900","225.1700","214.1600"
"2018/12/26","222.9500","5890305.0000","206.5300","222.9600","206.2500"
"2018/12/24","205.1600","2940454.0000","206.9000","212.5800","204.9500"
"2018/12/21","208.8000","8595366.0000","219.5500","222.2600","207.3700"
"2018/12/20","218.6500","6077922.0000","223.0000","224.8500","212.8300"
"2018/12/19","224.6500","6106460.0000","225.9200","231.0200","221.1100"
"2018/12/18","226.1800","5254382.0000","222.5300","228.1300","221.5500"
"2018/12/17","221.3800","6953743.0000","226.9300","230.6300","220.4800"
"2018/12/14","230.0000","12183820.0000","240.7600","240.9200","229.9100"
"2018/12/13","248.0800","5300276.0000","248.1500","251.6000","245.2000"
"2018/12/12","245.5500","4064416.0000","249.9900","251.5600","245.0400"
"2018/12/11","245.3400","3168230.0000","251.4300","251.7500","242.7845"
"2018/12/10","244.0900","3174744.0000","237.4600","245.3950","237.0101"
"2018/12/07","238.0000","3906283.0000","248.3900","249.2600","237.6500"
"2018/12/06","250.6300","3922516.0000","240.0000","250.6800","237.9600"
"2018/12/04","245.8200","4024037.0000","253.2200","254.7100","244.9800"
"2018/12/03","255.2600","4279352.0000","260.7100","260.7200","251.8172"
"2018/11/30","250.8900","5152441.0000","250.2300","251.5700","247.0900"
"2018/11/29","249.0900","3649540.0000","246.3600","252.2500","244.3100"
"2018/11/28","249.2100","6345165.0000","237.9000","250.4100","237.7400"
"2018/11/27","232.2500","2875774.0000","230.7700","232.7800","228.6800"
"2018/11/26","231.9600","3568366.0000","229.1900","233.3000","227.9100"
"2018/11/23","225.5600","1691015.0000","222.7100","227.7400","222.5100"
"2018/11/21","225.9800","4846354.0000","225.3300","228.9900","222.2400"
"2018/11/20","219.7300","6177056.0000","209.4100","222.8400","207.0200"
"2018/11/19","219.6900","7563739.0000","237.5000","238.6500","218.7200"
"2018/11/16","238.8900","2888654.0000","239.5200","240.1400","235.3700"
"2018/11/15","239.9500","3374695.0000","233.9800","241.4300","231.3300"
"2018/11/14","235.2200","3245850.0000","242.1600","242.9100","231.9101"
"2018/11/13","238.7400","3997175.0000","238.3800","243.0000","235.8501"
"2018/11/12","236.6700","3474744.0000","244.1400","244.8000","235.3600"
"2018/11/09","244.8400","2763403.0000","247.5600","248.2900","241.1600"
"2018/11/08","249.9600","2377200.0000","253.3100","254.1300","247.7400"
"2018/11/07","253.4300","3789181.0000","244.8000","253.9610","243.8100"
"2018/11/06","240.5600","2413984.0000","240.4800","244.6400","237.7600"
"2018/11/05","239.8900","3194004.0000","240.0000","241.0000","233.6200"
"2018/11/02","239.6400","4294936.0000","246.5700","247.4700","237.8000"
"2018/11/01","245.2800","3178528.0000","245.6900","247.5500","241.4900"
"2018/10/31","245.7600","4422315.0000","245.4100","249.6000","243.6662"
"2018/10/30","238.4100","5621923.0000","238.9900","242.5000","231.7000"
"2018/10/29","239.7500","4650555.0000","250.6700","254.5300","233.3950"
"2018/10/26","245.8000","4503521.0000","243.8500","252.1800","241.4050"
"2018/10/25","252.9200","5277080.0000","242.1700","253.5900","241.6600"
"2018/10/24","238.4400","4850012.0000","250.6100","254.5991","238.2300"
"2018/10/23","251.7600","4983077.0000","246.1900","254.9100","242.5600"
