"date","close","volume","open","high","low"
"16:00","8.54","41,959,857","8.64","8.67","8.52"
"2019/03/22","8.5400","41611650.0000","8.6300","8.6700","8.5200"
"2019/03/21","8.6900","44689840.0000","8.5000","8.6900","8.4900"
"2019/03/20","8.5100","54509730.0000","8.6700","8.6700","8.4800"
"2019/03/19","8.7000","57190820.0000","8.6100","8.8700","8.6100"
"2019/03/18","8.5700","35324290.0000","8.4500","8.5700","8.4200"
"2019/03/15","8.4300","66481250.0000","8.4200","8.4700","8.3700"
"2019/03/14","8.4100","36279810.0000","8.5200","8.5500","8.4000"
"2019/03/13","8.5300","48238150.0000","8.5900","8.6500","8.5000"
"2019/03/12","8.5700","37051290.0000","8.6500","8.7000","8.5500"
"2019/03/11","8.6100","36871550.0000","8.4600","8.6300","8.4500"
"2019/03/08","8.4200","43755280.0000","8.4000","8.4700","8.3400"
"2019/03/07","8.4800","53014220.0000","8.5600","8.5700","8.3450"
"2019/03/06","8.5800","50355970.0000","8.7500","8.7800","8.5600"
"2019/03/05","8.7700","39348070.0000","8.8000","8.8100","8.7000"
"2019/03/04","8.8100","46184390.0000","8.8300","8.9700","8.7600"
"2019/03/01","8.7900","37677900.0000","8.8500","8.8900","8.7100"
"2019/02/28","8.7700","43089720.0000","8.7700","8.7900","8.6000"
"2019/02/27","8.7800","34078120.0000","8.8300","8.9100","8.7800"
"2019/02/26","8.8800","38347020.0000","8.7500","8.9400","8.7200"
"2019/02/25","8.7600","56445150.0000","8.7700","8.8500","8.7500"
"2019/02/22","8.7100","40938440.0000","8.7300","8.7500","8.5600"
"2019/02/21","8.7100","44635240.0000","8.9400","8.9550","8.7000"
"2019/02/20","8.9400","40167010.0000","8.8300","8.9800","8.8200"
"2019/02/19","8.8300","37921810.0000","8.5300","8.8450","8.5300"
"2019/02/15","8.5400","57978560.0000","8.4900","8.5600","8.4100"
"2019/02/14","8.4200","23482620.0000","8.3800","8.4700","8.3200"
"2019/02/13","8.4100","27171650.0000","8.4500","8.6600","8.3900"
"2019/02/12","8.4600","26183010.0000","8.3800","8.4700","8.3800"
"2019/02/11","8.3300","27388930.0000","8.4100","8.4400","8.2900"
"2019/02/08","8.3900","38633960.0000","8.2900","8.4100","8.1600"
