"date","close","volume","open","high","low"

"2019/03/22","188.9600","5685476.0000","192.6700","193.7100","187.7800"
"2019/03/21","194.5800","4031505.0000","192.9000","195.5500","191.7500"
"2019/03/20","194.3200","5026981.0000","200.3300","200.3300","193.9700"
"2019/03/19","201.1200","3265653.0000","204.8800","206.4500","200.7800"
"2019/03/18","202.4700","3354910.0000","199.1800","203.8500","198.9200"
"2019/03/15","198.2600","2985111.0000","197.1600","198.8500","196.8507"
"2019/03/14","197.4700","1482332.0000","197.3200","198.5000","196.7000"
"2019/03/13","197.2500","1887523.0000","197.7500","198.9300","196.5200"
"2019/03/12","196.6300","1976952.0000","196.0000","197.3976","195.6900"
"2019/03/11","195.9700","2663177.0000","197.2300","198.9700","195.7300"
"2019/03/08","195.2400","3162458.0000","190.4000","195.7650","189.7118"
"2019/03/07","192.7700","3567659.0000","193.1300","193.4500","190.0800"
"2019/03/06","194.7400","2246653.0000","195.9000","197.5634","194.5300"
"2019/03/05","196.0000","2317322.0000","195.8500","196.1800","193.0000"
"2019/03/04","195.9800","2683542.0000","198.8100","200.8300","194.1500"
"2019/03/01","198.2000","2515367.0000","198.7500","201.4400","197.4300"
"2019/02/28","196.7000","2963285.0000","198.0400","198.4000","196.0100"
"2019/02/27","198.1000","1804153.0000","198.5000","199.8900","197.1200"
"2019/02/26","198.9000","2497992.0000","198.4700","200.5600","196.5500"
"2019/02/25","198.6500","3030604.0000","198.0000","201.5000","197.7139"
"2019/02/22","196.0000","2626034.0000","196.6000","197.7500","195.2000"
"2019/02/21","196.3600","2766994.0000","198.9700","199.4500","195.0500"
"2019/02/20","198.6000","2265670.0000","198.7300","199.3000","197.5100"
"2019/02/19","198.6700","2550454.0000","196.6600","199.0600","195.6100"
"2019/02/15","198.5000","3061580.0000","193.2100","198.8899","193.1000"
"2019/02/14","192.5300","2864203.0000","192.2100","194.1300","189.4400"
"2019/02/13","194.6900","2751616.0000","195.9200","198.7800","194.6000"
"2019/02/12","194.4900","2391351.0000","193.0500","195.6500","193.0000"
"2019/02/11","191.3300","2056482.0000","192.8800","193.3200","191.0700"
"2019/02/08","191.6700","2757074.0000","191.7200","192.6200","188.2158"
"2019/02/07","193.0700","2939938.0000","195.2800","195.8800","191.0500"
"2019/02/06","196.6200","2063052.0000","197.1800","199.0600","195.8300"
"2019/02/05","198.0100","2601006.0000","198.1200","199.3250","196.8600"
