date,Tesla,Netflix,Google,isPartial
2019-03-02,56,48,56,False
2019-03-03,44,44,42,False
2019-03-04,49,31,75,False
2019-03-05,54,24,59,False
2019-03-06,32,32,58,False
2019-03-07,37,44,54,False
2019-03-08,35,31,72,False
2019-03-09,28,28,62,False
2019-03-10,24,42,77,False
2019-03-11,49,35,79,False
2019-03-12,38,17,65,False
2019-03-13,31,25,52,False
2019-03-14,50,36,73,False
2019-03-15,71,35,55,False
2019-03-16,36,30,72,False
2019-03-17,38,35,59,False
2019-03-18,33,40,61,False
2019-03-19,43,33,98,False
2019-03-20,31,23,83,False
2019-03-21,38,36,78,False
2019-03-22,27,29,48,False
2019-03-23,27,43,62,False
2019-03-24,24,34,60,False
2019-03-25,21,44,64,False
2019-03-26,17,36,39,False
2019-03-27,30,15,100,False
2019-03-28,19,30,58,False
2019-03-29,34,23,48,False
