Title,Author,Sentiment,ticker,Source,Date
Cramer: Charts show why Tesla's stock could be set to rebound,CNBC,Positive,['TSLA'],CNBC,
Here's what Tesla investors should watch ahead of Elon Musk's faceoff with the SEC this week,CNBC Television,Neutral,['TSLA'],CNBC Television,
2 Key Technical Levels Tesla Investors Should Keep An Eye On,Benzinga,Negative,['TSLA'],Benzinga,
Driverless Cars' Biggest Obstacle May Be Us. Here's Why.,The Motley Fool,Neutral,"['GM', 'GOOG', 'GOOGL', 'LYFT', 'TSLA']",The Motley Fool,
Bear of the Day: Tesla (TSLA),Zacks Investment Research,Negative,['TSLA'],Zacks Investment Research,
U.S. Auto Sales: Slowdown,Investors Business Daily,Negative,"['F', 'FCAU', 'GM', 'HMC', 'NIO', 'NSANY', 'TM', 'TSLA']",Investors Business Daily,
"Judge may order Musk to step down as CEO, Oppenheimer analyst says",CNBC Television,Negative,['TSLA'],CNBC Television,
"Tesla's shipping challenges for Europe, China",Fox Business,Negative,['TSLA'],Fox Business,
Hackers have found a way to trick Tesla's autopilot,CNBC Television,Negative,['TSLA'],CNBC Television,
"Tesla Demand to Be a Lot Stronger in Second Half, Analyst Ives Says",Bloomberg Technology,Neutral,['TSLA'],Bloomberg Technology,"Mon, 01 Apr 2019 19:16:33 -0400"
Tesla Stock: Headed to $450?,The Motley Fool,Positive,['TSLA'],The Motley Fool,"Mon, 01 Apr 2019 19:10:00 -0400"
A Snapshot Of Tesla's 'S3XY' Models,Benzinga,Neutral,['TSLA'],Benzinga,"Mon, 01 Apr 2019 15:43:20 -0400"
Auto sales see slowdown for first time since 2014,CNBC Television,Negative,"['F', 'FCAU', 'GM', 'TM', 'TSLA']",CNBC Television,"Mon, 01 Apr 2019 14:39:30 -0400"
Tesla: Q1 Headwinds Could Create A Buying Opportunity,Seeking Alpha,Positive,['TSLA'],Seeking Alpha,"Mon, 01 Apr 2019 13:35:42 -0400"
5 Soft Reasons To Reconsider A Tesla Position,Seeking Alpha,Negative,['TSLA'],Seeking Alpha,"Mon, 01 Apr 2019 13:27:24 -0400"
Auto sales projected to slow to lowest level in 5 years despite SUV and pickup demand,CNBC,Negative,"['BMWYY', 'DMLRY', 'F', 'FCAU', 'GM', 'NSANY', 'RNLSY', 'TM', 'TSLA', 'VWAGY']",CNBC,"Mon, 01 Apr 2019 09:00:00 -0400"
Tesla's Vehicle Delivery Update: The Most Important Thing to Watch,The Motley Fool,Negative,['TSLA'],The Motley Fool,"Sun, 31 Mar 2019 14:06:00 -0400"
