Author,Date,Sentiment,Source,Title,ticker,Company Name
Market Watch,"Wed, 03 Apr 2019 20:17:52 -0400",Negative,Market Watch,Tesla falls short of expectations for first-quarter deliveries,['TSLA'],
CNBC,"Wed, 03 Apr 2019 20:15:00 -0400",Negative,CNBC,"Tesla ships 63,000 vehicles in Q1, produced 77,100",['TSLA'],
The Motley Fool,"Wed, 03 Apr 2019 20:10:00 -0400",Positive,The Motley Fool,After-Hours News: Resources Connection Reports Earnings,['TSLA'],
The Motley Fool,"Wed, 03 Apr 2019 20:10:00 -0400",Positive,The Motley Fool,After-Hours News: Tesla Rolls Out Autopilot Feature,['TSLA'],
Bloomberg Technology,"Wed, 03 Apr 2019 19:10:38 -0400",Positive,Bloomberg Technology,"Musk Appears More Stable and Seems to Have Turned the Corner, Tesla Analyst Ferragu Says",['TSLA'],
Benzinga,"Wed, 03 Apr 2019 16:21:13 -0400",Neutral,Benzinga,Researchers Trick Tesla Autopilot Using Stickers On The Road,['TSLA'],
CNBC Television,"Wed, 03 Apr 2019 15:05:53 -0400",Positive,CNBC Television,These are LinkedIn's top companies to work for in 2019: Tesla,['TSLA'],
The Motley Fool,"Wed, 03 Apr 2019 14:01:00 -0400",Positive,The Motley Fool,Tesla Will Show Off a Computer for Autonomous Driving,['TSLA'],
CNBC Television,"Wed, 03 Apr 2019 13:20:06 -0400",Positive,CNBC Television,Bulls on Tesla,['TSLA'],
CNBC Television,"Wed, 03 Apr 2019 10:09:05 -0400",Neutral,CNBC Television,Tesla bull and bear debate the stock as Elon Musk faces off with SEC,['TSLA'],
CNBC Television,"Wed, 03 Apr 2019 07:38:09 -0400",Neutral,CNBC Television,"Tesla preview: Musk in court, Q1 Model 3 delivery numbers",['TSLA'],
CNBC,,Positive,CNBC,Cramer: Charts show why Tesla's stock could be set to rebound,['TSLA'],
CNBC Television,,Neutral,CNBC Television,Here's what Tesla investors should watch ahead of Elon Musk's faceoff with the SEC this week,['TSLA'],
Benzinga,,Negative,Benzinga,2 Key Technical Levels Tesla Investors Should Keep An Eye On,['TSLA'],
The Motley Fool,,Neutral,The Motley Fool,Driverless Cars' Biggest Obstacle May Be Us. Here's Why.,"['GM', 'GOOG', 'GOOGL', 'LYFT', 'TSLA']",
Zacks Investment Research,,Negative,Zacks Investment Research,Bear of the Day: Tesla (TSLA),['TSLA'],
Investors Business Daily,,Negative,Investors Business Daily,U.S. Auto Sales: Slowdown,"['F', 'FCAU', 'GM', 'HMC', 'NIO', 'NSANY', 'TM', 'TSLA']",
CNBC Television,,Negative,CNBC Television,"Judge may order Musk to step down as CEO, Oppenheimer analyst says",['TSLA'],
Fox Business,,Negative,Fox Business,"Tesla's shipping challenges for Europe, China",['TSLA'],
CNBC Television,,Negative,CNBC Television,Hackers have found a way to trick Tesla's autopilot,['TSLA'],
Bloomberg Technology,"Mon, 01 Apr 2019 19:16:33 -0400",Neutral,Bloomberg Technology,"Tesla Demand to Be a Lot Stronger in Second Half, Analyst Ives Says",['TSLA'],
The Motley Fool,"Mon, 01 Apr 2019 19:10:00 -0400",Positive,The Motley Fool,Tesla Stock: Headed to $450?,['TSLA'],
Benzinga,"Mon, 01 Apr 2019 15:43:20 -0400",Neutral,Benzinga,A Snapshot Of Tesla's 'S3XY' Models,['TSLA'],
CNBC Television,"Mon, 01 Apr 2019 14:39:30 -0400",Negative,CNBC Television,Auto sales see slowdown for first time since 2014,"['F', 'FCAU', 'GM', 'TM', 'TSLA']",
Seeking Alpha,"Mon, 01 Apr 2019 13:35:42 -0400",Positive,Seeking Alpha,Tesla: Q1 Headwinds Could Create A Buying Opportunity,['TSLA'],
Seeking Alpha,"Mon, 01 Apr 2019 13:27:24 -0400",Negative,Seeking Alpha,5 Soft Reasons To Reconsider A Tesla Position,['TSLA'],
CNBC,"Mon, 01 Apr 2019 09:00:00 -0400",Negative,CNBC,Auto sales projected to slow to lowest level in 5 years despite SUV and pickup demand,"['BMWYY', 'DMLRY', 'F', 'FCAU', 'GM', 'NSANY', 'RNLSY', 'TM', 'TSLA', 'VWAGY']",
The Motley Fool,"Sun, 31 Mar 2019 14:06:00 -0400",Negative,The Motley Fool,Tesla's Vehicle Delivery Update: The Most Important Thing to Watch,['TSLA'],
The Motley Fool,"Sat, 30 Mar 2019 11:05:00 -0400",Neutral,The Motley Fool,How Many Vehicles Will Tesla Deliver in Q1?,['TSLA'],
CNBC,"Fri, 29 Mar 2019 20:33:00 -0400",Negative,CNBC,"Tesla cars keep more data than you think, including this video of a crash that totaled a Model 3",['TSLA'],
Market Watch,"Fri, 29 Mar 2019 14:15:59 -0400",Negative,Market Watch,"Tesla's price target, Model 3 expectations cut at Deutsche Bank",['TSLA'],
Benzinga,"Fri, 29 Mar 2019 13:31:46 -0400",Negative,Benzinga,JPMorgan Cuts Tesla Price Target After Meeting With Management,['TSLA'],
Market Watch,"Fri, 29 Mar 2019 10:35:36 -0400",Negative,Market Watch,J.P Morgan gets more bearish on Tesla's stock on concerns over Model 3 delivery delays,['TSLA'],
Seeking Alpha,,Positive,Seeking Alpha,Tesla's Growing GHG Credit Treasure Chest,['TSLA'],
Bloomberg Markets and Finance,,Neutral,Bloomberg Markets and Finance,Breaking Down China’s Electric Vehicle Market,"['BMWYY', 'DMLRY', 'F', 'FCAU', 'GM', 'HMC', 'NOK', 'NSANY', 'TSLA', 'VWAGY']",
Yahoo Finance,"Wed, 27 Mar 2019 17:24:56 -0400",Positive,Yahoo Finance,Elon Musks sends another letter to employees about store closings,['TSLA'],
CNBC Television,"Wed, 27 Mar 2019 16:51:00 -0400",Positive,CNBC Television,"Tesla's high-traffic stores will remain open, says Elon Musk",['TSLA'],
The Street,"Wed, 27 Mar 2019 11:32:32 -0400",Negative,The Street,Jim Cramer's Thoughts on Tesla,['TSLA'],
CNBC Television,"Wed, 27 Mar 2019 10:28:45 -0400",Negative,CNBC Television,"This court appearance might be a problem for Musk, says Jim Cramer",['TSLA'],
CNBC Television,"Wed, 27 Mar 2019 08:14:10 -0400",Neutral,CNBC Television,"Final trades: Microsoft, Qualcomm, Apple, J.M. Smucker & short Tesla","['AAPL', 'MSFT', 'QCOM', 'SJM', 'TSLA']",
CNBC,"Wed, 27 Mar 2019 08:08:00 -0400",Negative,CNBC,Fisker wants another shot at Tesla with a new Model Y fighter,['TSLA'],
CNBC Television,,Positive,CNBC Television,Judge dismisses shareholder suit against Tesla,['TSLA'],
Forbes,,Negative,Forbes,Top Manager Says Don't Touch Tesla,['TSLA'],
