date,open,high,low,close,volume,Company Name
2019-03-04,298.12,299.0,282.78,285.36,17096818,"Tesla, Inc."
2019-03-05,282.0,284.0,270.1,276.54,18764740,"Tesla, Inc."
2019-03-06,276.48,281.5058,274.39,276.24,10335485,"Tesla, Inc."
2019-03-07,278.84,284.7,274.25,276.59,9442483,"Tesla, Inc."
2019-03-08,276.91,285.59,275.89,284.14,8819625,"Tesla, Inc."
2019-03-11,283.52,291.28,280.5,290.92,7392278,"Tesla, Inc."
2019-03-12,286.49,288.07,281.06,283.36,7504137,"Tesla, Inc."
2019-03-13,283.9,291.99,282.7,288.96,6844719,"Tesla, Inc."
2019-03-14,292.45,295.39,288.29,289.96,7103447,"Tesla, Inc."
2019-03-15,283.51,283.7244,274.4,275.43,14785531,"Tesla, Inc."
2019-03-18,276.0,278.05,267.3,269.49,10280980,"Tesla, Inc."
2019-03-19,267.5,273.3,263.46,267.47,11800630,"Tesla, Inc."
2019-03-20,269.69,274.97,266.3,273.6,6908224,"Tesla, Inc."
2019-03-21,272.6,276.45,268.45,274.02,5947098,"Tesla, Inc."
2019-03-22,272.58,272.8,264.0,264.53,8745609,"Tesla, Inc."
2019-03-25,259.71,263.18,254.46,260.42,10215029,"Tesla, Inc."
2019-03-26,264.44,270.26,264.43,267.77,7350948,"Tesla, Inc."
2019-03-27,268.75,275.37,268.1838,274.83,8779166,"Tesla, Inc."
2019-03-28,277.16,280.33,275.1,278.62,6774093,"Tesla, Inc."
2019-03-29,278.7,280.16,274.5,279.86,5991338,"Tesla, Inc."
2019-04-01,282.62,289.2,281.281,289.18,8110439,"Tesla, Inc."
2019-04-02,288.3,289.44,283.88,285.88,5478940,"Tesla, Inc."
2019-03-04,1154.56,1165.52,1138.25,1153.42,1774467,Google LLC
2019-03-05,1156.0,1176.49,1153.02,1169.19,2004723,Google LLC
2019-03-06,1171.76,1174.74,1163.05,1164.94,1180052,Google LLC
2019-03-07,1160.5,1163.58,1141.71,1150.85,1504328,Google LLC
2019-03-08,1133.9,1153.45,1130.2,1149.97,1184732,Google LLC
2019-03-11,1152.0,1179.91,1151.57,1179.26,1501633,Google LLC
2019-03-12,1182.3,1205.71,1182.3,1197.25,2110979,Google LLC
2019-03-13,1205.93,1207.12,1197.91,1199.06,1294354,Google LLC
2019-03-14,1199.02,1204.7,1191.23,1192.53,1365072,Google LLC
2019-03-15,1198.0,1201.72,1187.01,1190.3,2593338,Google LLC
2019-03-18,1189.69,1194.95,1181.48,1188.55,1222203,Google LLC
2019-03-19,1191.72,1203.4,1189.46,1202.46,1489407,Google LLC
2019-03-20,1201.4,1229.99,1199.59,1226.43,2075442,Google LLC
2019-03-21,1220.0,1236.44,1216.58,1236.13,1407480,Google LLC
2019-03-22,1228.85,1233.63,1206.0,1207.65,1721133,Google LLC
2019-03-25,1199.56,1209.44,1190.0,1197.38,1378849,Google LLC
2019-03-26,1205.19,1207.65,1181.76,1189.84,1537606,Google LLC
2019-03-27,1191.92,1191.92,1164.23,1178.01,1471402,Google LLC
2019-03-28,1175.5,1177.25,1163.43,1172.27,1120122,Google LLC
2019-03-29,1180.18,1183.97,1166.38,1176.89,1544615,Google LLC
2019-04-01,1187.54,1200.2,1186.36,1198.98,1385595,Google LLC
2019-04-02,1200.05,1205.81,1191.24,1205.54,914413,Google LLC
2019-03-04,359.72,362.25,348.0436,351.04,7486996,"Netflix, Inc."
2019-03-05,351.46,356.17,348.25,354.3,5937754,"Netflix, Inc."
2019-03-06,353.6,359.88,351.7,359.61,6211895,"Netflix, Inc."
2019-03-07,360.16,362.86,350.5,352.6,6151331,"Netflix, Inc."
2019-03-08,345.75,349.92,342.47,349.6,6898838,"Netflix, Inc."
2019-03-11,352.0,358.98,350.03,358.86,5387285,"Netflix, Inc."
2019-03-12,359.37,360.13,353.8,356.27,5164571,"Netflix, Inc."
2019-03-13,355.81,362.48,352.765,361.21,6444092,"Netflix, Inc."
2019-03-14,360.5,363.84,358.1008,358.82,5271429,"Netflix, Inc."
2019-03-15,361.02,364.0,358.89,361.46,8443210,"Netflix, Inc."
2019-03-18,362.47,370.9705,361.86,363.44,7194726,"Netflix, Inc."
2019-03-19,366.4,366.96,356.8,358.78,7541425,"Netflix, Inc."
2019-03-20,358.91,375.9,357.01,375.22,10917165,"Netflix, Inc."
2019-03-21,374.0,379.0,370.61,377.87,8544017,"Netflix, Inc."
2019-03-22,375.95,376.43,360.04,361.01,8661346,"Netflix, Inc."
2019-03-25,359.0,367.0399,357.44,366.23,8473845,"Netflix, Inc."
2019-03-26,367.87,368.38,358.02,359.97,7666475,"Netflix, Inc."
2019-03-27,361.0,362.47,350.37,353.37,7852370,"Netflix, Inc."
2019-03-28,354.485,355.94,349.2,354.61,4360960,"Netflix, Inc."
2019-03-29,357.16,358.25,353.71,356.56,4705636,"Netflix, Inc."
2019-04-01,359.0,368.33,358.51,366.96,7036097,"Netflix, Inc."
2019-04-02,366.25,368.42,362.22,367.72,5158742,"Netflix, Inc."
