"date","close","volume","open","high","low"

"2019/03/22","109.4600","3720866.0000","111.2900","111.3200","108.9883"
"2019/03/21","111.8200","3084295.0000","109.9600","112.1800","109.8100"
"2019/03/20","110.7700","3309303.0000","112.2600","112.4600","110.6000"
"2019/03/19","112.6700","3283473.0000","114.2200","114.2200","112.3600"
"2019/03/18","113.5500","2917969.0000","113.7500","114.2500","113.1600"
"2019/03/15","113.5200","4776733.0000","112.7100","113.7700","112.5300"
"2019/03/14","112.3500","3538236.0000","112.3900","112.7800","111.8800"
"2019/03/13","112.1400","4229160.0000","110.1800","112.2600","110.0900"
"2019/03/12","110.4300","3917505.0000","109.7400","111.2750","109.7400"
"2019/03/11","109.5600","3285793.0000","109.0100","109.7900","108.7100"
"2019/03/08","107.9800","2077106.0000","106.7900","108.0700","106.6800"
"2019/03/07","107.8600","3048239.0000","108.5600","108.6300","107.4000"
"2019/03/06","108.9800","2614039.0000","108.9300","109.4500","108.8500"
"2019/03/05","108.8500","2658668.0000","109.0300","109.3150","108.3200"
"2019/03/04","109.0000","4053186.0000","109.5600","110.0900","107.7600"
"2019/03/01","108.9000","2679143.0000","108.4000","109.6500","108.2000"
"2019/02/28","107.7400","3295799.0000","107.2200","108.4457","107.0800"
"2019/02/27","107.4200","2393448.0000","106.8600","107.6250","106.6000"
"2019/02/26","106.9400","2548073.0000","106.6700","107.6200","106.4200"
"2019/02/25","106.9300","3333497.0000","108.2000","108.8474","106.7600"
"2019/02/22","107.4400","2256445.0000","106.9800","107.5500","106.8600"
"2019/02/21","106.6100","2542360.0000","106.7400","106.9500","106.3200"
"2019/02/20","106.7800","3840756.0000","106.5700","107.1790","106.5000"
"2019/02/19","106.5000","3692762.0000","107.0500","107.2300","106.4600"
"2019/02/15","107.3800","3882256.0000","107.3300","108.0900","107.1200"
"2019/02/14","106.6200","2385903.0000","107.0000","107.3600","106.2400"
"2019/02/13","107.5600","3180471.0000","107.5500","108.4700","107.1000"
"2019/02/12","107.0000","3238636.0000","106.2700","107.4300","106.2600"
"2019/02/11","105.4100","2653833.0000","104.9500","105.5600","104.8100"
"2019/02/08","104.5200","2580790.0000","103.7300","104.5200","103.4300"
"2019/02/07","104.3900","3855040.0000","104.0570","104.7800","103.6100"
"2019/02/06","104.9600","3595667.0000","103.8500","105.0800","103.4300"
"2019/02/05","103.9000","2231188.0000","103.6300","104.1750","103.4100"
"2019/02/04","103.4200","2564298.0000","103.0400","103.4600","102.5200"
"2019/02/01","103.0600","4727795.0000","102.4100","103.5300","102.4100"
"2019/01/31","102.7000","4297101.0000","102.0000","102.9000","101.7000"
"2019/01/30","102.6700","3501447.0000","101.0900","102.8500","100.5400"
"2019/01/29","100.9600","2826289.0000","100.9400","101.4200","100.5400"
"2019/01/28","100.3800","3167005.0000","100.0500","100.4100","99.4800"
