"date","close","volume","open","high","low"

"2019/03/22","161.5000","5575945.0000","165.9600","166.4900","161.3500"
"2019/03/21","166.9500","4273075.0000","163.1700","166.9900","162.7500"
"2019/03/20","163.5100","4390447.0000","163.8400","164.9500","161.5100"
"2019/03/19","163.9300","4322584.0000","162.5200","164.6200","161.6000"
"2019/03/18","161.9500","3575338.0000","161.4000","163.3300","160.8799"
"2019/03/15","161.5100","6743626.0000","160.6400","162.1800","159.1900"
"2019/03/14","160.6700","3243784.0000","160.9500","161.5900","159.7400"
"2019/03/13","159.8100","5157184.0000","158.8500","162.0000","158.6100"
"2019/03/12","158.2800","4077409.0000","158.0000","159.3700","157.1600"
"2019/03/11","157.6500","5674220.0000","155.9000","157.7700","153.4301"
"2019/03/08","155.0600","4798594.0000","152.0200","155.4100","150.2500"
"2019/03/07","155.6000","6906480.0000","156.0900","157.5900","154.8100"
"2019/03/06","156.7900","7432476.0000","157.1300","160.2500","156.2780"
"2019/03/05","156.9700","15832300.0000","159.9200","160.8800","154.8000"
"2019/03/04","158.5000","17516710.0000","165.5600","165.7900","155.4200"
"2019/03/01","164.5300","6815175.0000","165.1500","166.1500","161.7500"
"2019/02/28","163.6500","6849387.0000","163.0000","164.6000","162.1700"
"2019/02/27","163.1200","4276729.0000","162.2900","163.5300","160.5000"
"2019/02/26","163.0000","4473896.0000","160.8100","163.3800","159.8700"
"2019/02/25","161.3600","5073931.0000","162.5100","163.0600","160.9300"
"2019/02/22","161.3100","4172510.0000","160.4700","161.7100","160.2000"
"2019/02/21","159.6300","4334943.0000","157.7000","160.4800","157.3000"
"2019/02/20","158.5400","6800552.0000","160.3300","161.4900","157.2100"
"2019/02/19","160.6100","3881911.0000","159.6600","161.4800","159.1400"
"2019/02/15","159.0500","5281182.0000","160.9900","161.2200","158.0900"
"2019/02/14","159.4700","5059897.0000","159.4700","160.4400","156.7060"
"2019/02/13","160.4000","5291005.0000","163.4400","163.5700","160.2700"
"2019/02/12","162.7900","5627056.0000","161.2500","163.3900","160.0300"
"2019/02/11","159.9100","7112684.0000","158.2000","161.5000","157.5700"
"2019/02/08","156.6700","3005509.0000","152.9100","156.7000","152.7100"
"2019/02/07","154.9300","4505042.0000","155.9600","157.0600","153.3600"
"2019/02/06","158.1300","4203296.0000","159.0000","159.1000","155.0800"
"2019/02/05","158.9900","4570860.0000","158.3400","159.8800","157.8150"
"2019/02/04","157.7200","5253231.0000","156.0200","158.8998","155.4100"
