Date,Twitter Account,Total Tweets,Average Positive Score,Average Negative Score,Average Neutral Score,Total Retweets,Total Likes,Company Name
2014-06-02,@reedhastings,1,0.31,0.0,0.69,2,3,"Netflix, Inc."
2014-08-06,@reedhastings,1,0.0,0.114,0.886,20,0,"Netflix, Inc."
2014-08-24,@reedhastings,2,0.1925,0.0,0.8075,32,0,"Netflix, Inc."
2014-08-25,@reedhastings,1,0.405,0.074,0.521,1,0,"Netflix, Inc."
2014-08-26,@reedhastings,1,0.0,0.0,1.0,191,0,"Netflix, Inc."
2014-08-27,@reedhastings,1,0.121,0.0,0.879,677,0,"Netflix, Inc."
2014-08-30,@reedhastings,2,0.3185,0.031,0.651,1699,0,"Netflix, Inc."
2014-09-10,@reedhastings,1,0.0,0.0,1.0,645,0,"Netflix, Inc."
2015-01-01,@reedhastings,1,0.099,0.107,0.794,49,97,"Netflix, Inc."
2015-02-09,@reedhastings,1,0.3,0.0,0.7,12,37,"Netflix, Inc."
2015-02-20,@reedhastings,1,0.206,0.0,0.794,199,0,"Netflix, Inc."
2015-04-08,@reedhastings,1,0.0,0.0,1.0,822,0,"Netflix, Inc."
2015-04-09,@reedhastings,1,0.0,0.0,1.0,115,0,"Netflix, Inc."
2015-06-16,@reedhastings,1,0.149,0.0,0.851,2551,0,"Netflix, Inc."
2015-06-18,@reedhastings,1,0.0,0.0,1.0,271,0,"Netflix, Inc."
2015-09-12,@reedhastings,1,0.0,0.0,1.0,0,12,"Netflix, Inc."
2015-09-19,@reedhastings,2,0.084,0.039,0.877,5811,0,"Netflix, Inc."
2015-09-20,@reedhastings,1,0.152,0.0,0.848,1132,0,"Netflix, Inc."
2015-09-21,@reedhastings,1,0.619,0.0,0.381,31,74,"Netflix, Inc."
2015-09-30,@reedhastings,1,0.0,0.161,0.839,404,0,"Netflix, Inc."
2015-10-04,@reedhastings,1,0.0,0.153,0.847,33,68,"Netflix, Inc."
2015-10-08,@reedhastings,1,0.0,0.0,1.0,57,103,"Netflix, Inc."
2015-10-15,@reedhastings,1,0.216,0.0,0.784,170,262,"Netflix, Inc."
2015-10-16,@reedhastings,2,0.032,0.0,0.968,10,0,"Netflix, Inc."
2015-11-09,@reedhastings,1,0.186,0.0,0.814,6,0,"Netflix, Inc."
2015-11-10,@reedhastings,1,0.0,0.0,1.0,18,31,"Netflix, Inc."
2015-11-20,@reedhastings,1,0.13,0.0,0.87,37580,0,"Netflix, Inc."
2015-11-23,@reedhastings,1,0.0,0.0,1.0,4,0,"Netflix, Inc."
2015-11-29,@reedhastings,1,0.0,0.0,1.0,311,0,"Netflix, Inc."
2015-12-16,@reedhastings,2,0.286,0.0,0.714,150,15,"Netflix, Inc."
2016-01-05,@reedhastings,1,0.262,0.0,0.738,174,0,"Netflix, Inc."
2016-01-06,@reedhastings,1,0.218,0.0,0.782,1,8,"Netflix, Inc."
